Id;IdTipoAttributo;IdGruppo;Ordine;Nome;Descrizione;IdStoreProcedure;DataSource;DataMember;DataLen;DataFormat;necessario;RitornaDescrizione;PostBack;Discriminante;Principale;visualizzaValore;defaultValue;IdSPverificaAttributo;Regex;IsEsteso
773;1;1006;1;CodiceUnita;Codice AOO;537;;;0;;0;1;0;1;1;0;;-1;"                                                                                                                                                                                                                                                          ";0
776;1;1010;1;codiceUnita;Codice Unità;10;;;0;;0;0;0;1;1;0;;-1;"                                                                                                                                                                                                                                                          ";0
777;1;1011;1;codiceArea;Codice Area;1;;;0;;0;0;0;1;1;0;;-1;"                                                                                                                                                                                                                                                          ";0
779;1;1014;1;codiceArea;Codice Area;1;;;0;;0;0;0;1;1;0;;-1;"                                                                                                                                                                                                                                                          ";0
780;1;1015;1;codiceArea;Codice Area;1;;;0;;0;0;0;1;1;0;;-1;"                                                                                                                                                                                                                                                          ";0
781;1;1014;2;codiceUnita;Codice Unita;10;;;0;;0;0;0;1;0;0;;-1;"                                                                                                                                                                                                                                                          ";0
782;1;1012;1;codiceArea;Codice Area;1;;;0;;0;0;0;1;1;0;;-1;"                                                                                                                                                                                                                                                          ";0
783;1;1016;1;codiceUnita;Sede;10;;;0;;0;0;0;1;1;0;;-1;"                                                                                                                                                                                                                                                          ";0
784;1;1017;1;codiceUnita;Sede;10;;;0;;0;0;0;1;1;0;;-1;"                                                                                                                                                                                                                                                          ";0
785;1;1013;1;codiceArea;Codice Area;1;;;0;;0;0;0;1;1;0;;-1;"                                                                                                                                                                                                                                                          ";0
789;1;1022;1;codiceUnita;Sede;10;NULL;NULL;NULL;NULL;NULL;0;0;1;1;0;NULL;NULL;NULL;NULL
790;1;1028;1;AREA_CRST;Area;1;;;0;;0;0;0;0;0;0;;-1;"                                                                                                                                                                                                                                                          ";0
791;1;1028;2;ABILITAZ_CRST;Abilitazione;1;;;0;;0;0;0;0;0;0;;-1;"                                                                                                                                                                                                                                                          ";0
792;1;1028;3;TIPO_UTEN_CRST;Tipo Utente;1;;;0;;0;0;0;0;0;0;;-1;"                                                                                                                                                                                                                                                          ";0
793;2;1028;4;CodiceUnita;Sede;10;;;0;;0;0;0;0;0;0;;-1;"                                                                                                                                                                                                                                                          ";0
794;1;1029;1;TIPO_ADMIN_CRST;Tipo Amministratore;1;;;0;;0;0;0;0;0;0;;-1;"                                                                                                                                                                                                                                                          ";0
796;1;1030;1;AreaAppCSPAPDD;AreaAppCSPAPDD;1;;;0;;0;0;0;1;1;0;;-1;"                                                                                                                                                                                                                                                          ";0
797;1;1033;1;TipoGruppoISI;Tipo Gruppo ISI;1;NULL;NULL;NULL;NULL;NULL;0;0;1;1;0;NULL;NULL;NULL;NULL
798;1;1033;2;codiceRegioneIstat;Codice regionale;518;NULL;NULL;NULL;NULL;NULL;0;0;1;0;0;NULL;NULL;NULL;NULL
799;3;1032;1;TipoAdmin;Tipo Admin Crusotto MC;1;;;0;;0;0;0;1;1;0;;-1;"                                                                                                                                                                                                                                                          ";0
800;1;1036;1;codiceASL;codice ASL;1;NULL;NULL;NULL;NULL;NULL;0;0;1;0;0;NULL;NULL;NULL;NULL
801;1;1036;2;codiceRegioneIstat;Codice regionale istat;1;NULL;NULL;NULL;NULL;NULL;0;0;1;0;0;NULL;NULL;NULL;NULL
802;1;1036;3;TipoUtenteCMC;Tipo Utente CruscottoMC;1;NULL;NULL;NULL;NULL;NULL;0;0;1;0;0;NULL;NULL;NULL;NULL
803;3;1035;1;TipoAdmin;Tipo Admin Crusotto MC;1;NULL;NULL;NULL;NULL;NULL;0;0;1;1;0;NULL;NULL;NULL;NULL
805;1;1045;1;CodiceDTL;Codice DTL;1;;;0;;0;0;0;1;1;1;;-1;"                                                                                                                                                                                                                                                          ";0
812;3;1049;1;userNamePadre;Codice Ditta;-1;;;0;;0;0;0;1;0;1;;-1;"                                                                                                                                                                                                                                                          ";0
813;1;1053;1;codiceUnita;Codice AOO;10;;;0;;0;0;0;1;1;0;;-1;"                                                                                                                                                                                                                                                          ";0
814;1;1054;1;codiceUnita;Codice AOO;10;;;0;;0;0;0;1;1;0;;-1;"                                                                                                                                                                                                                                                          ";0
815;1;1055;1;codiceUnita;;10;;;0;;0;0;0;1;1;0;;-1;"                                                                                                                                                                                                                                                          ";0
816;1;1056;1;codiceUnita;Codice AOO;10;;;0;;0;0;0;1;1;0;;-1;"                                                                                                                                                                                                                                                          ";0
817;1;1057;1;codiceUnita;Codice AOO;10;;;0;;0;0;0;1;1;0;;-1;"                                                                                                                                                                                                                                                          ";0
818;1;1058;1;codiceUnita;Codice AOO;10;;;0;;0;0;0;1;1;0;;-1;"                                                                                                                                                                                                                                                          ";0
819;1;1061;1;codiceUnita;Sede INAIL;565;;;0;;0;1;0;1;0;1;;-1;"                                                                                                                                                                                                                                                          ";0
820;1;1060;1;codiceUnita;Sede INAIL;565;;;0;;0;1;0;1;0;1;;-1;"                                                                                                                                                                                                                                                          ";0
821;1;1065;1;codiceUnita;Sede INAIL;565;;;0;;0;1;0;1;0;1;;-1;"                                                                                                                                                                                                                                                          ";0
822;1;1063;1;codiceUnita;Sede INAIL;565;;;0;;0;1;0;1;0;1;;-1;"                                                                                                                                                                                                                                                          ";0
